speaker1,speaker2
" bofu where's the nearest parking garage eofu bofu Yes, please set directions via a route that avoids all heavy traffic if possible.  eofu bofu Thanks so much for your help.  eofu", bofu The nearest parking garage is Dish Parking at 550 Alester Ave. Would you like directions there?  eofu bofu It looks like there is a road block being reported on the route but I will still find the quickest route to 550 Alester Ave.  eofu bofu You're very welcome! eofu
 bofu Where is the nearest gas station? eofu bofu What is the address? eofu bofu Thanks! eofu, bofu There is a 76 4 miles away. eofu bofu The 76 gas station is located at 91 El Camino Real. It is 4 miles away through moderate traffic eofu bofu Anytime! eofu
" bofu show me the closest location where i can get chinese food eofu bofu OK, please give me an address and directions via a route that avoids all heavy traffic.  eofu bofu Thank you eofu"," bofu The closest chinese restaurant is PF Changs, located 5 miles away.  eofu bofu P.F. Changs route set to 669 El Camino Real with only moderate traffic noted.  eofu bofu You're welcome. Drive safely, and enjoy.  eofu"
" bofu Hi, please set up a reminder for my dinner on the 11th at 4pm with my sister. Thanks! eofu", bofu Set! Have a good time eofu
" bofu What time is dinner and who is it with? eofu bofu Okay, perfect! Thanks. eofu", bofu Dinner is at 7 pm with Jon. eofu bofu you're welcome eofu
" bofu schedule dentist appointment eofu bofu It is on Sunday at 2 pm. eofu bofu Right on, thanks.  eofu", bofu when is your dentist appointment eofu bofu I have put on your calendar a dentist appointment on Sunday at 2 pm.  eofu
 bofu check forecast for new york eofu bofu Will it be overcast on friday? eofu bofu Thank you! eofu," bofu The weather this week will be hail and rain on Thursday and Sunday, with the lowest temperature being 20F and the highest 90F, Monday will be the only hot day.  eofu bofu On Friday it will be cloudy on New York eofu bofu You're welcome! eofu"
 bofu Will it be warm in Camarillo over the next 2 days? eofu bofu Thank you car! eofu," bofu No, it's not gonna be warm in Camarillo over the next 2 days eofu bofu you are very welcome eofu"
" bofu what's the highest temperature for this week eofu bofu Menlo Park, please eofu bofu Excellent, that's very helpful.  eofu", bofu What location do you want to know the highest temperature? eofu bofu On Friday in Menlo Park it will be a high of 100f. eofu bofu You are very welcome. eofu
 bofu Will there be hail in Mountain View today? eofu bofu Thanks. eofu, bofu There will be clear skies today in Mountain View. eofu bofu Anytime. eofu
 bofu Will the weather be warm in Menlo Park on Sunday? eofu bofu Thanks. eofu, bofu The highest temperature on sunday is 30F in menlo park eofu bofu You are welcome. eofu
 bofu what is the weather like today and tomorrow eofu bofu I need to know if there is a blizzard in redwood City today. eofu bofu Thanks.  eofu, bofu What city would you like the 2 day forecast for? eofu bofu There is no blizzard in Redwood City today. eofu bofu You are welcome. eofu
 bofu get me directions to the nearest shopping mall eofu bofu Sounds great. Thanks. eofu, bofu The nearest shopping mall is Stanford Shopping Center. It's located 3 miles away and there is no traffic to reach it eofu bofu You're welcome! eofu
 bofu remind me that i have a meeting at work on the 12th at 5 pm in conference room 100 eofu," bofu Okay setting a reminder for you work meeting, on the 12th at 5 pm, in conference room 100. eofu"
" bofu where are the nearest coffee shops eofu bofu Please give me an address and directions to the Peets coffee, and take the fastest route available.  eofu bofu Thanks for all the help.  eofu"," bofu The nearby coffee shops are Teavana which is 6 miles away, and Peets coffee which is 3 miles away. eofu bofu Peets Coffee is located at 9981 Archuleta Ave. but a car collision is nearby on the route. I will try to find the quickest route possible.  eofu bofu You're welcome! eofu"
 bofu What is the date of football and who is coming? eofu bofu Thanks. eofu," bofu You have four football activities scheduled; one on the 5th with John, on the 10th with Marie, one on the 16th with Alex, and one on Monday with father.  eofu bofu Have a great day. eofu"
 bofu Will it be stormy in Redwood City on Wednesday? eofu bofu Thank you. eofu," bofu No, Wednesday it will be hot in Redwood City eofu bofu Anytime. eofu"
 bofu is it going to snow today eofu bofu San Mateo please. eofu bofu Thanks so much.  eofu," bofu What city should I check for you? eofu bofu Today is gonna be windy in San Mateo, with expected low temperature of 40F, and high of 50F eofu bofu You're welcome. Glad I could be of assistance.  eofu"
 bofu What day and time is my yoga class? eofu bofu Thank you kindly. eofu, bofu Your yoga activity is on the 3rd at 10 am. eofu bofu You are welcome. eofu
 bofu is the weather cloudy right now eofu bofu Alameda. eofu bofu Thanks. eofu, bofu What location do you want the weather for? eofu bofu It is not cloudy in Alameda right now. eofu bofu You're welcome. Have a great day.  eofu
 bofu Will the weather be hail in Alhambra during the next seven days? eofu bofu Thank you. eofu, bofu There shouldn't be any hail during the next seven days in Alhambra eofu bofu You're welcome. eofu
 bofu Schedule a yoga activity with Tom on the 8th at 2pm. eofu bofu Thanks! eofu," bofu Okay, scheduling a yoga activity with Tom for the 8th at 2pm. eofu bofu My pleasure. eofu"
